"Year","State","County ID","State / County Name","All Ages SAIPE Poverty Universe","All Ages in Poverty Count","All Ages in Poverty Count LB 90%","All Ages in Poverty Count UB 90%","90% Confidence Interval (All Ages in Poverty Count)","All Ages in Poverty Percent","All Ages in Poverty Percent LB 90%","All Ages in Poverty Percent UB 90%","90% Confidence Interval (All Ages in Poverty Percent)","Under Age 18 SAIPE Poverty Universe","Under Age 18 in Poverty Count","Under Age 18 in Poverty Count LB 90%","Under Age 18 in Poverty Count UB 90%","90% Confidence Interval (Under Age 18 in Poverty Count)","Under Age 18 in Poverty Percent","Under Age 18 in Poverty Percent LB 90%","Under Age 18 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 18 in Poverty Percent)","Ages 5 to 17 in Families SAIPE Poverty Universe","Ages 5 to 17 in Families in Poverty Count","Ages 5 to 17 in Families in Poverty Count LB 90%","Ages 5 to 17 in Families in Poverty Count UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Count)","Ages 5 to 17 in Families in Poverty Percent","Ages 5 to 17 in Families in Poverty Percent LB 90%","Ages 5 to 17 in Families in Poverty Percent UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Percent)","Under Age 5 SAIPE Poverty Universe","Under Age 5 in Poverty Count","Under Age 5 in Poverty Count LB 90%","Under Age 5 in Poverty Count UB 90%","90% Confidence Interval (Under Age 5 in Poverty Count)","Under Age 5 in Poverty Percent","Under Age 5 in Poverty Percent LB 90%","Under Age 5 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 5 in Poverty Percent)","Median Household Income in Dollars","Median Household Income in Dollars LB 90%","Median Household Income in Dollars UB 90%","90% Confidence Interval (Median Household Income in Dollars)"
"2005","30","30000","Montana","907,721","132,226","127,787","136,664","127,787 to 136,664","14.6","14.1","15.1","14.1 to 15.1","200,327","40,453","38,292","42,615","38,292 to 42,615","20.2","19.1","21.3","19.1 to 21.3","145,935","26,584","24,806","28,362","24,806 to 28,362","18.2","17.0","19.4","17.0 to 19.4","52,695","12,518","11,421","13,614","11,421 to 13,614","23.8","21.7","25.8","21.7 to 25.8","$38,503","$37,623","$39,384","$37,623 to $39,384"
"2004","30","30000","Montana","918,297","125,081","115,536","134,626","115,536 to 134,626","13.6","12.6","14.7","12.6 to 14.7","203,597","37,636","33,630","41,642","33,630 to 41,642","18.5","16.5","20.5","16.5 to 20.5","146,799","22,842","19,299","26,385","19,299 to 26,385","15.6","13.1","18.0","13.1 to 18.0","52,821","12,501","10,649","14,352","10,649 to 14,352","23.7","20.2","27.2","20.2 to 27.2","$35,574","$34,067","$37,082","$34,067 to $37,082"
"2003","30","30000","Montana","908,305","129,109","121,578","136,641","121,578 to 136,641","14.2","13.4","15.0","13.4 to 15.0","205,941","40,946","37,661","44,231","37,661 to 44,231","19.9","18.3","21.5","18.3 to 21.5","149,128","25,827","23,273","28,381","23,273 to 28,381","17.3","15.6","19.0","15.6 to 19.0","51,247","13,486","11,496","15,476","11,496 to 15,476","26.3","22.4","30.2","22.4 to 30.2","$34,449","$32,996","$35,902","$32,996 to $35,902"
"2002","30","30000","Montana","899,218","126,154","118,721","133,588","118,721 to 133,588","14.0","13.2","14.9","13.2 to 14.9","212,279","40,738","37,256","44,220","37,256 to 44,220","19.2","17.6","20.8","17.6 to 20.8","153,798","25,691","22,759","28,623","22,759 to 28,623","16.7","14.8","18.6","14.8 to 18.6","51,788","13,181","11,330","15,031","11,330 to 15,031","25.5","21.9","29.0","21.9 to 29.0","$34,105","$32,345","$35,864","$32,345 to $35,864"
"2001","30","30000","Montana","892,255","124,776","117,884","131,668","117,884 to 131,668","14.0","13.2","14.8","13.2 to 14.8","217,397","41,222","36,920","45,525","36,920 to 45,525","19.0","17.0","20.9","17.0 to 20.9","161,100","26,001","22,196","29,806","22,196 to 29,806","16.1","13.8","18.5","13.8 to 18.5","53,004","13,181","11,612","14,750","11,612 to 14,750","24.9","21.9","27.8","21.9 to 27.8","$33,151","$31,692","$34,610","$31,692 to $34,610"
"2000","30","30000","Montana","884,426","117,677","110,868","124,487","110,868 to 124,487","13.3","12.5","14.1","12.5 to 14.1","215,405","40,497","37,026","43,968","37,026 to 43,968","18.8","17.2","20.4","17.2 to 20.4","160,475","24,984","22,007","27,961","22,007 to 27,961","15.6","13.7","17.4","13.7 to 17.4","52,068","13,546","11,774","15,318","11,774 to 15,318","26.0","22.6","29.4","22.6 to 29.4","$33,281","$31,517","$35,044","$31,517 to $35,044"
"1999","30","30000","Montana","886,008","126,835","117,930","135,741","117,930 to 135,741","14.3","13.3","15.3","13.3 to 15.3","226,578","45,667","39,857","51,478","39,857 to 51,478","20.2","17.6","22.7","17.6 to 22.7","168,539","29,978","24,868","35,088","24,868 to 35,088","17.8","14.8","20.8","14.8 to 20.8","53,597","13,199","10,697","15,701","10,697 to 15,701","24.6","20.0","29.3","20.0 to 29.3","$32,098","$30,777","$33,418","$30,777 to $33,418"
"1998","30","30000","Montana","879,709","138,272","129,185","147,359","129,185 to 147,359","15.7","14.7","16.8","14.7 to 16.8","228,749","50,077","44,578","55,576","44,578 to 55,576","21.9","19.5","24.3","19.5 to 24.3","170,198","33,222","28,269","38,175","28,269 to 38,175","19.5","16.6","22.4","16.6 to 22.4","53,679","15,083","12,713","17,454","12,713 to 17,454","28.1","23.7","32.5","23.7 to 32.5","$31,271","$29,634","$32,907","$29,634 to $32,907"
"1997","30","30000","Montana","NA","135,691","126,419","144,964","126,419 to 144,964","15.5","14.4","16.6","14.4 to 16.6","NA","49,055","44,584","53,525","44,584 to 53,525","21.3","19.4","23.3","19.4 to 23.3","NA","32,898","29,023","36,773","29,023 to 36,773","19.1","16.8","21.3","16.8 to 21.3","NA","13,839","11,714","15,963","11,714 to 15,963","25.5","21.6","29.4","21.6 to 29.4","$29,672","$28,138","$31,205","$28,138 to $31,205"
"1996","30","30000","Montana","NA","132,015","122,846","141,183","122,846 to 141,183","15.1","14.1","16.2","14.1 to 16.2","NA","49,667","44,712","54,622","44,712 to 54,622","21.6","19.4","23.8","19.4 to 23.8","NA","32,190","27,630","36,750","27,630 to 36,750","18.8","16.1","21.5","16.1 to 21.5","NA","15,232","13,135","17,329","13,135 to 17,329","28.2","24.3","32.1","24.3 to 32.1","$28,714","$27,013","$30,415","$27,013 to $30,415"
"1995","30","30000","Montana","NA","137,922","129,948","145,896","129,948 to 145,896","15.8","14.9","16.7","14.9 to 16.7","NA","51,732","48,244","55,220","48,244 to 55,220","22.0","20.5","23.5","20.5 to 23.5","NA","33,324","30,777","35,871","30,777 to 35,871","19.1","17.6","20.5","17.6 to 20.5","NA","16,879","14,472","19,287","14,472 to 19,287","30.0","25.7","34.2","25.7 to 34.2","$27,889","$26,456","$29,322","$26,456 to $29,322"
"1993","30","30000","Montana","NA","129,656","121,327","137,985","121,327 to 137,985","15.2","14.2","16.1","14.2 to 16.1","NA","47,745","43,562","51,928","43,562 to 51,928","19.8","18.1","21.6","18.1 to 21.6","NA","30,249","26,845","33,653","26,845 to 33,653","17.1","15.2","19.0","15.2 to 19.0","NA","15,542","13,971","17,113","13,971 to 17,113","25.8","23.2","28.4","23.2 to 28.4","$26,386","$25,200","$27,572","$25,200 to $27,572"
"1989","30","30000","Montana","NA","118,434","113,727","123,141","113,727 to 123,141","15.0","14.4","15.6","14.4 to 15.6","NA","48,169","45,567","50,771","45,567 to 50,771","21.5","20.4","22.7","20.4 to 22.7","NA","31,124","29,089","33,159","29,089 to 33,159","19.4","18.1","20.7","18.1 to 20.7","NA","14,550","12,805","16,295","12,805 to 16,295","24.1","21.2","27.0","21.2 to 27.0","$23,242","$22,137","$24,347","$22,137 to $24,347"
"2014","31","31000","Nebraska","1,828,140","225,054","218,509","231,599","218,509 to 231,599","12.3","11.9","12.7","11.9 to 12.7","458,792","73,270","69,375","77,165","69,375 to 77,165","16.0","15.2","16.8","15.2 to 16.8","328,868","48,249","45,075","51,423","45,075 to 51,423","14.7","13.7","15.7","13.7 to 15.7","127,900","23,075","20,914","25,236","20,914 to 25,236","18.0","16.3","19.7","16.3 to 19.7","$52,803","$52,139","$53,467","$52,139 to $53,467"
"2013","31","31000","Nebraska","1,815,562","234,742","227,326","242,158","227,326 to 242,158","12.9","12.5","13.3","12.5 to 13.3","456,306","77,850","73,190","82,510","73,190 to 82,510","17.1","16.1","18.1","16.1 to 18.1","326,287","49,030","45,209","52,851","45,209 to 52,851","15.0","13.8","16.2","13.8 to 16.2","127,806","26,764","24,192","29,336","24,192 to 29,336","20.9","18.9","22.9","18.9 to 22.9","$51,502","$51,017","$51,987","$51,017 to $51,987"
"2012","31","31000","Nebraska","1,800,892","230,375","223,087","237,663","223,087 to 237,663","12.8","12.4","13.2","12.4 to 13.2","453,303","78,806","74,931","82,681","74,931 to 82,681","17.4","16.5","18.3","16.5 to 18.3","321,738","51,189","47,880","54,498","47,880 to 54,498","15.9","14.9","16.9","14.9 to 16.9","129,503","25,654","23,720","27,588","23,720 to 27,588","19.8","18.3","21.3","18.3 to 21.3","$50,766","$50,207","$51,325","$50,207 to $51,325"
"2011","31","31000","Nebraska","1,789,287","230,003","223,029","236,977","223,029 to 236,977","12.9","12.5","13.3","12.5 to 13.3","451,108","79,312","75,238","83,386","75,238 to 83,386","17.6","16.7","18.5","16.7 to 18.5","319,651","49,082","45,616","52,548","45,616 to 52,548","15.4","14.3","16.5","14.3 to 16.5","128,284","27,654","25,490","29,818","25,490 to 29,818","21.6","19.9","23.3","19.9 to 23.3","$50,281","$49,626","$50,936","$49,626 to $50,936"
"2010","31","31000","Nebraska","1,776,188","224,530","216,981","232,079","216,981 to 232,079","12.6","12.2","13.0","12.2 to 13.0","449,547","77,895","73,532","82,258","73,532 to 82,258","17.3","16.3","18.3","16.3 to 18.3","318,026","49,230","45,294","53,166","45,294 to 53,166","15.5","14.3","16.7","14.3 to 16.7","128,992","26,193","24,037","28,349","24,037 to 28,349","20.3","18.6","22.0","18.6 to 22.0","$48,415","$47,608","$49,222","$47,608 to $49,222"
"2009","31","31000","Nebraska","1,739,226","212,312","204,807","219,817","204,807 to 219,817","12.2","11.8","12.6","11.8 to 12.6","439,999","67,346","63,535","71,157","63,535 to 71,157","15.3","14.4","16.2","14.4 to 16.2","306,461","40,760","37,709","43,811","37,709 to 43,811","13.3","12.3","14.3","12.3 to 14.3","130,380","23,771","21,696","25,845","21,696 to 25,845","18.2","16.6","19.8","16.6 to 19.8","$47,470","$46,726","$48,214","$46,726 to $48,214"
"2008","31","31000","Nebraska","1,727,266","186,480","179,814","193,147","179,814 to 193,147","10.8","10.4","11.2","10.4 to 11.2","436,012","59,793","56,186","63,401","56,186 to 63,401","13.7","12.9","14.5","12.9 to 14.5","304,185","35,492","32,305","38,679","32,305 to 38,679","11.7","10.6","12.7","10.6 to 12.7","129,151","21,668","19,973","23,363","19,973 to 23,363","16.8","15.5","18.1","15.5 to 18.1","$49,731","$48,953","$50,509","$48,953 to $50,509"
"2007","31","31000","Nebraska","1,719,426","190,463","184,545","196,380","184,545 to 196,380","11.1","10.7","11.4","10.7 to 11.4","436,053","64,102","60,786","67,417","60,786 to 67,417","14.7","13.9","15.5","13.9 to 15.5","305,361","39,327","36,475","42,179","36,475 to 42,179","12.9","11.9","13.8","11.9 to 13.8","127,558","22,263","20,642","23,884","20,642 to 23,884","17.5","16.2","18.7","16.2 to 18.7","$47,072","$46,425","$47,720","$46,425 to $47,720"
"2006","31","31000","Nebraska","1,715,416","194,595","188,562","200,629","188,562 to 200,629","11.3","11.0","11.7","11.0 to 11.7","436,638","62,877","59,609","66,145","59,609 to 66,145","14.4","13.7","15.1","13.7 to 15.1","307,552","37,876","35,047","40,705","35,047 to 40,705","12.3","11.4","13.2","11.4 to 13.2","125,799","21,990","20,314","23,667","20,314 to 23,667","17.5","16.1","18.8","16.1 to 18.8","$45,369","$44,820","$45,919","$44,820 to $45,919"
"2005","31","31000","Nebraska","1,702,183","186,436","180,624","192,247","180,624 to 192,247","11.0","10.6","11.3","10.6 to 11.3","424,022","62,489","59,478","65,500","59,478 to 65,500","14.7","14.0","15.4","14.0 to 15.4","299,439","38,637","36,096","41,178","36,096 to 41,178","12.9","12.1","13.8","12.1 to 13.8","121,687","21,564","19,982","23,147","19,982 to 23,147","17.7","16.4","19.0","16.4 to 19.0","$43,675","$42,978","$44,373","$42,978 to $44,373"
"2004","31","31000","Nebraska","1,723,814","172,162","157,447","186,877","157,447 to 186,877","10.0","9.1","10.8","9.1 to 10.8","429,065","55,000","47,690","62,310","47,690 to 62,310","12.8","11.1","14.5","11.1 to 14.5","301,938","32,859","26,715","39,003","26,715 to 39,003","10.9","8.8","12.9","8.8 to 12.9","122,854","19,555","16,245","22,865","16,245 to 22,865","15.9","13.2","18.6","13.2 to 18.6","$42,166","$40,626","$43,706","$40,626 to $43,706"
"2003","31","31000","Nebraska","1,711,701","170,042","158,512","181,572","158,512 to 181,572","9.9","9.3","10.6","9.3 to 10.6","432,103","55,652","49,838","61,466","49,838 to 61,466","12.9","11.5","14.2","11.5 to 14.2","306,446","32,413","28,213","36,613","28,213 to 36,613","10.6","9.2","11.9","9.2 to 11.9","120,315","20,617","16,735","24,499","16,735 to 24,499","17.1","13.9","20.4","13.9 to 20.4","$41,984","$40,458","$43,509","$40,458 to $43,509"
"2002","31","31000","Nebraska","1,706,058","169,922","158,265","181,578","158,265 to 181,578","10.0","9.3","10.6","9.3 to 10.6","437,923","53,919","48,053","59,785","48,053 to 59,785","12.3","11.0","13.7","11.0 to 13.7","310,090","33,583","28,831","38,335","28,831 to 38,335","10.8","9.3","12.4","9.3 to 12.4","119,547","18,090","14,677","21,503","14,677 to 21,503","15.1","12.3","18.0","12.3 to 18.0","$41,130","$39,343","$42,917","$39,343 to $42,917"
"2001","31","31000","Nebraska","1,688,718","156,604","146,373","166,834","146,373 to 166,834","9.3","8.7","9.9","8.7 to 9.9","437,350","54,967","48,029","61,906","48,029 to 61,906","12.6","11.0","14.2","11.0 to 14.2","315,877","34,590","28,488","40,692","28,488 to 40,692","11.0","9.0","12.9","9.0 to 12.9","117,425","17,382","14,697","20,068","14,697 to 20,068","14.8","12.5","17.1","12.5 to 17.1","$41,091","$39,545","$42,636","$39,545 to $42,636"
"2000","31","31000","Nebraska","1,677,358","148,821","138,664","158,978","138,664 to 158,978","8.9","8.3","9.5","8.3 to 9.5","432,835","51,329","45,692","56,966","45,692 to 56,966","11.9","10.6","13.2","10.6 to 13.2","312,274","30,863","26,138","35,588","26,138 to 35,588","9.9","8.4","11.4","8.4 to 11.4","114,231","17,806","14,786","20,827","14,786 to 20,827","15.6","12.9","18.2","12.9 to 18.2","$40,429","$38,599","$42,259","$38,599 to $42,259"
"1999","31","31000","Nebraska","1,679,366","162,806","147,643","177,970","147,643 to 177,970","9.7","8.8","10.6","8.8 to 10.6","444,680","55,575","45,495","65,654","45,495 to 65,654","12.5","10.2","14.8","10.2 to 14.8","321,055","35,990","27,229","44,751","27,229 to 44,751","11.2","8.5","13.9","8.5 to 13.9","116,963","16,780","12,170","21,390","12,170 to 21,390","14.3","10.4","18.3","10.4 to 18.3","$38,668","$37,307","$40,029","$37,307 to $40,029"
"1998","31","31000","Nebraska","1,654,294","169,986","153,572","186,401","153,572 to 186,401","10.3","9.3","11.3","9.3 to 11.3","451,179","62,254","51,856","72,652","51,856 to 72,652","13.8","11.5","16.1","11.5 to 16.1","328,757","38,527","29,127","47,927","29,127 to 47,927","11.7","8.9","14.6","8.9 to 14.6","118,551","21,219","16,521","25,917","16,521 to 25,917","17.9","13.9","21.9","13.9 to 21.9","$37,233","$35,497","$38,969","$35,497 to $38,969"
"1997","31","31000","Nebraska","NA","158,962","143,803","174,122","143,803 to 174,122","9.6","8.7","10.6","8.7 to 10.6","NA","57,013","48,585","65,441","48,585 to 65,441","12.6","10.8","14.5","10.8 to 14.5","NA","33,822","26,642","41,002","26,642 to 41,002","10.2","8.0","12.3","8.0 to 12.3","NA","19,212","15,211","23,214","15,211 to 23,214","16.5","13.1","20.0","13.1 to 20.0","$35,337","$33,662","$37,013","$33,662 to $37,013"
"1996","31","31000","Nebraska","NA","153,630","139,063","168,197","139,063 to 168,197","9.4","8.5","10.2","8.5 to 10.2","NA","56,679","48,238","65,120","48,238 to 65,120","12.7","10.8","14.6","10.8 to 14.6","NA","31,052","23,404","38,700","23,404 to 38,700","9.6","7.2","12.0","7.2 to 12.0","NA","20,846","16,861","24,830","16,861 to 24,830","18.1","14.7","21.6","14.7 to 21.6","$33,562","$31,695","$35,430","$31,695 to $35,430"
"1995","31","31000","Nebraska","NA","159,645","148,011","171,279","148,011 to 171,279","9.8","9.0","10.5","9.0 to 10.5","NA","56,930","50,472","63,389","50,472 to 63,389","12.6","11.2","14.1","11.2 to 14.1","NA","33,811","29,023","38,599","29,023 to 38,599","10.3","8.9","11.8","8.9 to 11.8","NA","19,131","14,744","23,519","14,744 to 23,519","16.4","12.6","20.2","12.6 to 20.2","$32,176","$30,655","$33,697","$30,655 to $33,697"
"1993","31","31000","Nebraska","NA","172,767","157,867","187,667","157,867 to 187,667","10.7","9.8","11.6","9.8 to 11.6","NA","62,619","54,313","70,925","54,313 to 70,925","13.9","12.1","15.8","12.1 to 15.8","NA","36,648","29,579","43,717","29,579 to 43,717","11.3","9.1","13.5","9.1 to 13.5","NA","22,694","19,710","25,678","19,710 to 25,678","19.0","16.5","21.5","16.5 to 21.5","$29,038","$27,836","$30,240","$27,836 to $30,240"
"1989","31","31000","Nebraska","NA","173,034","164,784","181,284","164,784 to 181,284","11.1","10.6","11.6","10.6 to 11.6","NA","67,810","62,643","72,977","62,643 to 72,977","15.6","14.4","16.8","14.4 to 16.8","NA","42,468","38,284","46,652","38,284 to 46,652","13.9","12.5","15.2","12.5 to 15.2","NA","22,568","19,333","25,803","19,333 to 25,803","18.2","15.6","20.8","15.6 to 20.8","$25,258","$24,118","$26,398","$24,118 to $26,398"
"2014","32","32000","Nevada","2,800,763","430,447","418,251","442,643","418,251 to 442,643","15.4","15.0","15.8","15.0 to 15.8","654,323","144,947","138,676","151,218","138,676 to 151,218","22.2","21.2","23.2","21.2 to 23.2","479,372","96,913","91,607","102,219","91,607 to 102,219","20.2","19.1","21.3","19.1 to 21.3","172,795","45,395","42,193","48,597","42,193 to 48,597","26.3","24.4","28.2","24.4 to 28.2","$51,487","$50,828","$52,146","$50,828 to $52,146"
"2013","32","32000","Nevada","2,750,482","433,267","421,242","445,292","421,242 to 445,292","15.8","15.4","16.2","15.4 to 16.2","651,285","147,638","140,726","154,550","140,726 to 154,550","22.7","21.6","23.8","21.6 to 23.8","473,129","99,599","93,685","105,513","93,685 to 105,513","21.1","19.9","22.3","19.9 to 22.3","174,440","44,460","40,950","47,970","40,950 to 47,970","25.5","23.5","27.5","23.5 to 27.5","$51,250","$50,676","$51,824","$50,676 to $51,824"
"2012","32","32000","Nevada","2,718,582","441,373","429,406","453,340","429,406 to 453,340","16.2","15.8","16.6","15.8 to 16.6","652,369","152,664","146,579","158,749","146,579 to 158,749","23.4","22.5","24.3","22.5 to 24.3","468,899","101,584","96,355","106,813","96,355 to 106,813","21.7","20.6","22.8","20.6 to 22.8","179,758","47,866","44,892","50,840","44,892 to 50,840","26.6","24.9","28.3","24.9 to 28.3","$49,909","$49,131","$50,687","$49,131 to $50,687"
"2011","32","32000","Nevada","2,684,533","423,195","410,176","436,214","410,176 to 436,214","15.8","15.3","16.3","15.3 to 16.3","653,988","145,150","138,452","151,848","138,452 to 151,848","22.2","21.2","23.2","21.2 to 23.2","466,204","96,806","90,970","102,642","90,970 to 102,642","20.8","19.5","22.1","19.5 to 22.1","183,397","44,676","41,073","48,279","41,073 to 48,279","24.4","22.4","26.4","22.4 to 26.4","$49,099","$48,171","$50,027","$48,171 to $50,027"
"2010","32","32000","Nevada","2,666,664","393,605","380,753","406,457","380,753 to 406,457","14.8","14.3","15.3","14.3 to 15.3","655,799","139,981","132,945","147,017","132,945 to 147,017","21.3","20.2","22.4","20.2 to 22.4","468,715","89,928","83,702","96,154","83,702 to 96,154","19.2","17.9","20.5","17.9 to 20.5","183,717","46,954","43,865","50,043","43,865 to 50,043","25.6","23.9","27.3","23.9 to 27.3","$50,987","$50,262","$51,712","$50,262 to $51,712"
"2009","32","32000","Nevada","2,606,531","323,738","312,900","334,575","312,900 to 334,575","12.4","12.0","12.8","12.0 to 12.8","668,524","117,742","111,394","124,091","111,394 to 124,091","17.6","16.7","18.6","16.7 to 18.6","463,283","72,969","67,849","78,089","67,849 to 78,089","15.8","14.6","16.9","14.6 to 16.9","201,035","41,167","37,486","44,849","37,486 to 44,849","20.5","18.6","22.3","18.6 to 22.3","$53,310","$52,433","$54,187","$52,433 to $54,187"
"2008","32","32000","Nevada","2,566,465","288,334","278,528","298,140","278,528 to 298,140","11.2","10.9","11.6","10.9 to 11.6","658,441","98,504","92,794","104,215","92,794 to 104,215","15.0","14.1","15.8","14.1 to 15.8","457,167","60,439","55,569","65,309","55,569 to 65,309","13.2","12.2","14.3","12.2 to 14.3","196,493","34,298","31,361","37,235","31,361 to 37,235","17.5","16.0","18.9","16.0 to 18.9","$56,432","$55,670","$57,195","$55,670 to $57,195"
"2007","32","32000","Nevada","2,528,671","267,829","258,054","277,605","258,054 to 277,605","10.6","10.2","11.0","10.2 to 11.0","647,787","96,510","90,904","102,116","90,904 to 102,116","14.9","14.0","15.8","14.0 to 15.8","452,035","62,021","56,950","67,092","56,950 to 67,092","13.7","12.6","14.8","12.6 to 14.8","190,740","30,422","27,853","32,992","27,853 to 32,992","15.9","14.6","17.3","14.6 to 17.3","$54,996","$54,155","$55,838","$54,155 to $55,838"
